SZ000001940,20220104,TMIN,41,,,E,
SZ000001940,20220104,PRCP,86,,,E,
SZ000001940,20220104,SNWD,0,,,E,
SZ000001940,20220104,TAVG,117,H,,S,
SZ000002220,20220104,TMAX,11,,,E,
SZ000002220,20220104,TMIN,-52,,,E,
SZ000002220,20220104,PRCP,231,,,E,
SZ000002220,20220104,SNWD,2400,,,E,
SZ000002220,20220104,TAVG,-6,H,,S,
SZ000003700,20220104,TMAX,146,,,E,
SZ000003700,20220104,TMIN,35,,,E,
SZ000003700,20220104,PRCP,115,,,E,
SZ000003700,20220104,SNWD,0,,,E,
SZ000003700,20220104,TAVG,107,H,,S,
SZ000006717,20220104,TMAX,30,,,E,
SZ000006717,20220104,TMIN,-19,,,E,
SZ000006717,20220104,PRCP,238,,,E,
SZ000006717,20220104,TAVG,8,H,,S,
SZ000008440,20220104,TMAX,161,,,E,
SZ000008440,20220104,TMIN,71,,,E,
SZ000008440,20220104,PRCP,71,,,E,
SZ000008440,20220104,SNWD,0,,,E,
SZ000008440,20220104,TAVG,118,H,,S,
SZ000009480,20220104,TMAX,82,,,E,
SZ000009480,20220104,TMIN,65,,,E,
SZ000009480,20220104,PRCP,85,,,E,
SZ000009480,20220104,SNWD,0,,,E,
SZ000009480,20220104,TAVG,64,H,,S,
SZE00105086,20220104,TMAX,168,,,E,
SZE00105086,20220104,TMIN,40,,,E,
SZE00105086,20220104,PRCP,15,,,E,
SZE00105086,20220104,SNWD,0,,,E,
SZE00105086,20220104,TAVG,81,H,,S,
SZE00116090,20220104,TMAX,148,,,E,
SZE00116090,20220104,TMIN,52,,,E,
SZE00116090,20220104,PRCP,140,,,E,
SZE00116090,20220104,TAVG,117,H,,S,
SZM00006796,20220104,TAVG,-6,H,,S,
SZ000001940,20220105,TMAX,61,,,E,
SZ000001940,20220105,TMIN,1,,,E,
SZ000001940,20220105,PRCP,2,,,E,
SZ000001940,20220105,SNWD,0,,,E,
SZ000001940,20220105,TAVG,31,H,,S,
SZ000002220,20220105,TMAX,-56,,,E,
SZ000002220,20220105,TMIN,-159,,,E,
SZ000002220,20220105,PRCP,195,,,E,
SZ000002220,20220105,SNWD,2580,,,E,
SZ000002220,20220105,TAVG,-115,H,,S,
SZ000003700,20220105,TMAX,34,,,E,
SZ000003700,20220105,TMIN,-12,,,E,
SZ000003700,20220105,PRCP,5,,,E,
SZ000003700,20220105,SNWD,0,,,E,
SZ000003700,20220105,TAVG,13,H,,S,
SZ000006717,20220105,TMAX,-9,,,E,
SZ000006717,20220105,TMIN,-154,,,E,
SZ000006717,20220105,PRCP,134,,,E,
SZ000006717,20220105,TAVG,-93,H,,S,
SZ000008440,20220105,TMAX,73,,,E,
SZ000008440,20220105,TMIN,11,,,E,
SZ000008440,20220105,PRCP,0,,,E,
SZ000008440,20220105,SNWD,0,,,E,
SZ000008440,20220105,TAVG,36,H,,S,
SZ000009480,20220105,TMAX,131,,,E,
SZ000009480,20220105,TMIN,66,,,E,
SZ000009480,20220105,PRCP,6,,,E,
SZ000009480,20220105,SNWD,0,,,E,
SZ000009480,20220105,TAVG,79,H,,S,
SZE00105086,20220105,TMAX,101,,,E,
SZE00105086,20220105,TMIN,-31,,,E,
SZE00105086,20220105,PRCP,0,,,E,
SZE00105086,20220105,SNWD,0,,,E,
SZE00105086,20220105,TAVG,39,H,,S,
SZE00116090,20220105,TMAX,51,,,E,
SZE00116090,20220105,TMIN,-3,,,E,
SZE00116090,20220105,PRCP,14,,,E,
SZE00116090,20220105,TAVG,27,H,,S,
SZM00006796,20220105,PRCP,20,,,S,
SZM00006796,20220105,TAVG,-16,H,,S,
SZ000001940,20220106,TMAX,41,,,E,
SZ000001940,20220106,TMIN,-11,,,E,
SZ000001940,20220106,PRCP,1,,,E,
SZ000001940,20220106,SNWD,0,,,E,
SZ000001940,20220106,TAVG,17,H,,S,
SZ000002220,20220106,TMAX,-90,,,E,
SZ000002220,20220106,TMIN,-143,,,E,
SZ000002220,20220106,PRCP,16,,,E,
SZ000002220,20220106,SNWD,2680,,,E,
SZ000002220,20220106,TAVG,-127,H,,S,
SZ000003700,20220106,TMAX,8,,,E,
SZ000003700,20220106,TMIN,-23,,,E,
SZ000003700,20220106,PRCP,7,,,E,
SZ000003700,20220106,SNWD,0,,,E,
SZ000003700,20220106,TAVG,-5,H,,S,
SZ000006717,20220106,TMAX,-103,,,E,
SZ000006717,20220106,TMIN,-154,,,E,
SZ000006717,20220106,PRCP,0,,,E,
SZ000006717,20220106,TAVG,-132,H,,S,
SZ000008440,20220106,TMAX,53,,,E,
SZ000008440,20220106,TMIN,-21,,,E,
SZ000008440,20220106,PRCP,0,,,E,
SZ000008440,20220106,SNWD,0,,,E,
SZ000008440,20220106,TAVG,21,H,,S,
SZ000009480,20220106,TMAX,111,,,E,
SZ000009480,20220106,TMIN,13,,,E,
SZ000009480,20220106,PRCP,0,,,E,
SZ000009480,20220106,SNWD,0,,,E,
SZ000009480,20220106,TAVG,60,H,,S,
SZE00105086,20220106,TMAX,24,,,E,
SZE00105086,20220106,TMIN,-59,,,E,
SZE00105086,20220106,PRCP,0,,,E,
SZE00105086,20220106,SNWD,0,,,E,
SZE00105086,20220106,TAVG,-19,H,,S,
SZE00116090,20220106,TMAX,41,,,E,
SZE00116090,20220106,TMIN,-32,,,E,
SZE00116090,20220106,PRCP,0,,,E,
SZE00116090,20220106,TAVG,11,H,,S,
SZM00006796,20220106,PRCP,152,,,S,
SZM00006796,20220106,TAVG,-49,H,,S,
SZ000001940,20220107,TMAX,36,,,E,
SZ000001940,20220107,TMIN,-12,,,E,
SZ000001940,20220107,PRCP,20,,,E,
SZ000001940,20220107,SNWD,0,,,E,
SZ000001940,20220107,TAVG,11,H,,S,
SZ000002220,20220107,TMAX,-78,,,E,
SZ000002220,20220107,TMIN,-124,,,E,
SZ000002220,20220107,PRCP,129,,,E,
SZ000002220,20220107,SNWD,2620,,,E,
SZ000002220,20220107,TAVG,-103,H,,S,
SZ000003700,20220107,TMAX,15,,,E,
SZ000003700,20220107,TMIN,-18,,,E,
SZ000003700,20220107,PRCP,16,,,E,
SZ000003700,20220107,SNWD,0,,,E,
SZ000003700,20220107,TAVG,-1,H,,S,
SZ000006717,20220107,TMAX,-71,,,E,
SZ000006717,20220107,TMIN,-128,,,E,
SZ000006717,20220107,PRCP,98,,,E,
SZ000006717,20220107,TAVG,-103,H,,S,
SZ000008440,20220107,TMAX,24,,,E,
SZ000008440,20220107,TMIN,-25,,,E,
SZ000008440,20220107,PRCP,50,,,E,
SZ000008440,20220107,SNWD,0,,,E,
SZ000008440,20220107,TAVG,2,H,,S,
SZ000009480,20220107,TMAX,62,,,E,
SZ000009480,20220107,TMIN,-2,,,E,
SZ000009480,20220107,PRCP,0,,,E,
SZ000009480,20220107,SNWD,0,,,E,
SZ000009480,20220107,TAVG,0,H,,S,
SZE00105086,20220107,TMAX,6,,,E,
SZE00105086,20220107,TMIN,-70,,,E,
SZE00105086,20220107,PRCP,13,,,E,
SZE00105086,20220107,SNWD,0,,,E,
SZE00105086,20220107,TAVG,-25,H,,S,
SZE00116090,20220107,TMAX,22,,,E,
SZE00116090,20220107,TMIN,-33,,,E,
SZE00116090,20220107,PRCP,21,,,E,
SZE00116090,20220107,TAVG,0,H,,S,
SZM00006796,20220107,TMIN,-114,,,S,
SZM00006796,20220107,PRCP,0,,,S,
SZM00006796,20220107,TAVG,-67,H,,S,
SZ000001940,20220108,TMAX,80,,,E,
SZ000001940,20220108,TMIN,13,,,E,
SZ000001940,20220108,PRCP,41,,,E,
SZ000001940,20220108,SNWD,0,,,E,
SZ000001940,20220108,TAVG,43,H,,S,
SZ000002220,20220108,TMAX,-63,,,E,
SZ000002220,20220108,TMIN,-128,,,E,
SZ000002220,20220108,PRCP,282,,,E,
SZ000002220,20220108,SNWD,2700,,,E,
SZ000002220,20220108,TAVG,-108,H,,S,
SZ000003700,20220108,TMAX,32,,,E,
SZ000003700,20220108,TMIN,2,,,E,
SZ000003700,20220108,PRCP,40,,,E,
SZ000003700,20220108,SNWD,20,,,E,
SZ000003700,20220108,TAVG,17,H,,S,
SZ000006717,20220108,TMAX,-69,,,E,
SZ000006717,20220108,TMIN,-121,,,E,
SZ000006717,20220108,PRCP,337,,,E,
SZ000006717,20220108,TAVG,-93,H,,S,
SZ000008440,20220108,TMAX,42,,,E,
SZ000008440,20220108,TMIN,6,,,E,
SZ000008440,20220108,PRCP,85,,,E,
SZ000008440,20220108,SNWD,20,,,E,
SZ000008440,20220108,TAVG,19,H,,S,
SZ000009480,20220108,TMAX,69,,,E,
SZ000009480,20220108,TMIN,-8,,,E,
SZ000009480,20220108,PRCP,0,,,E,
SZ000009480,20220108,SNWD,0,,,E,
SZ000009480,20220108,TAVG,4,H,,S,
SZE00105086,20220108,TMAX,20,,,E,
SZE00105086,20220108,TMIN,-20,,,E,
SZE00105086,20220108,PRCP,79,,,E,
SZE00105086,20220108,SNWD,30,,,E,
SZE00105086,20220108,TAVG,1,H,,S,
SZE00116090,20220108,TMAX,40,,,E,
SZE00116090,20220108,TMIN,3,,,E,
SZE00116090,20220108,PRCP,50,,,E,
SZE00116090,20220108,TAVG,24,H,,S,
SZM00006796,20220108,TAVG,-42,H,,S,
SZ000001940,20220109,TMAX,81,,,E,
SZ000001940,20220109,TMIN,23,,,E,
SZ000001940,20220109,PRCP,4,,,E,
SZ000001940,20220109,SNWD,0,,,E,
SZ000001940,20220109,TAVG,43,H,,S,
SZ000002220,20220109,TMAX,-66,,,E,
SZ000002220,20220109,TMIN,-122,,,E,
SZ000002220,20220109,PRCP,269,,,E,
SZ000002220,20220109,SNWD,2750,,,E,
SZ000002220,20220109,TAVG,-104,H,,S,
SZ000003700,20220109,TMAX,41,,,E,
SZ000003700,20220109,TMIN,0,,,E,
SZ000003700,20220109,PRCP,128,,,E,
SZ000003700,20220109,SNWD,0,,,E,
SZ000003700,20220109,TAVG,20,H,,S,
SZ000006717,20220109,TMAX,-65,,,E,
SZ000006717,20220109,TMIN,-110,,,E,
SZ000006717,20220109,PRCP,416,,,E,
SZ000006717,20220109,TAVG,-96,H,,S,
